Food,Allergy,Summary,url
sausage,lupin,"A sausage is a cylindrical meat product usually made from ground meat, often pork, beef, or veal, along with salt, spices and other flavourings, and breadcrumbs, encased by a skin. Typically, a sausage is formed in a casing traditionally made from intestine, but sometimes from synthetic materials. Sausages that are sold raw are cooked in many ways, including pan-frying, broiling and barbecuing. Some sausages are cooked during processing and the casing may then be removed.
Sausage making is a traditional food preservation technique. Sausages may be preserved by curing, drying (often in association with fermentation or culturing, which can contribute to preservation), smoking, or freezing. Some cured or smoked sausages can be stored without refrigeration. Most fresh sausages must be refrigerated or frozen until they are cooked.
Sausages come in a huge range of national and regional varieties, which differ by their flavouring or spicing ingredients (garlic, peppers, wine, etc.), the meat(s) used in them and their manner of preparation.",https://en.wikipedia.org/wiki/Sausage
snack bars,lupin,A snack bar usually refers to an inexpensive food counter that is part of a permanent structure where snack foods and light meals are sold.,https://en.wikipedia.org/wiki/Snack_bar
tofu,lupin,"Tempeh or tempe (; Javanese: témpé, Javanese pronunciation: [tempe]) is a traditional Indonesian soy product, that is made from fermented soybeans. It is made by a natural culturing and controlled fermentation process that binds soybeans into a cake form. Here a special fungus is used, which has the Latin name Rhizopus oligosporus, usually marketed under the name Tempeh starter. 

It is especially popular on the island of Java, where it is a staple source of protein. Like tofu, tempeh is made from soybeans, but it is a whole soybean product with different nutritional characteristics and textural qualities. Tempeh's fermentation process and its retention of the whole bean give it a higher content of protein, dietary fiber, and vitamins. It has a firm texture and an earthy flavor, which becomes more pronounced as it ages.",https://en.wikipedia.org/wiki/Tempeh
wafers,lupin,"A wafer is a crisp, often sweet, very thin, flat, light and dry biscuit, often used to decorate ice cream, and also used as a garnish on some sweet dishes. Wafers can also be made into cookies with cream flavoring sandwiched between them. They frequently have a waffle surface pattern but may also be patterned with insignia of the food's manufacturer or may be patternless. Some chocolate bars, such as Kit Kat and Coffee Crisp, are wafers with chocolate in and around them.",https://en.wikipedia.org/wiki/Wafer
waffles,lupin,"A waffle is a dish made from leavened batter or dough that is cooked between two plates that are patterned to give a characteristic size, shape, and surface impression. There are many variations based on the type of waffle iron and recipe used. Waffles are eaten throughout the world, particularly in Belgium, which has over a dozen regional varieties.  Waffles may be made fresh or simply heated after having been commercially cooked and frozen.",https://en.wikipedia.org/wiki/Waffle
yoghurts,lupin,"Yogurt ( or ; from Turkish: yoğurt), also spelled yoghurt, yogourt or yoghourt, is a food produced by bacterial fermentation of milk. The bacteria used to make yogurt are known as yogurt cultures. The fermentation of lactose by these bacteria produces lactic acid, which acts on milk protein to give yogurt its texture and characteristic tart flavor. Cow's milk is commonly available worldwide and, as such, is the milk most commonly used to make yogurt. Milk from water buffalo, goats, ewes, mares, camels, and yaks is also used to produce yogurt where available locally. The milk used may be homogenized or not, even pasteurized or raw. Each type of milk produces substantially different results.
Yogurt is produced using a culture of Lactobacillus delbrueckii subsp. bulgaricus and Streptococcus thermophilus bacteria. In addition, other lactobacilli and bifidobacteria are sometimes added during or after culturing yogurt. Some countries require yogurt to contain a certain amount of colony-forming units (CFU) of bacteria; in China, for example, the requirement for the number of lactobacillus bacteria is at least 1 million CFU per millilitre.To produce yogurt, milk is first heated, usually to about 85 °C (185 °F), to denature the milk proteins so that they do not form curds. After heating, the milk is allowed to cool to about 45 °C (113 °F). The bacterial culture is mixed in, and that temperature of 45 °C is maintained for 4 to 12 hours to allow fermentation to occur.",https://en.wikipedia.org/wiki/Yogurt
baked goods,milk,"Pastry is a dough of flour, water and shortening (solid fats, including butter) that may be savoury or sweetened. Sweetened pastries are often described as bakers' confectionery. The word ""pastries"" suggests many kinds of baked products made from ingredients such as flour, sugar, milk, butter, shortening, baking powder, and eggs. Small tarts and other sweet baked products are called pastries. Common pastry dishes include pies, tarts, quiches, croissants, and pasties.The French word pâtisserie is also used in English (with or without the accent) for the same foods. Originally, the French word pastisserie referred to anything, such as a meat pie, made in dough (paste, later pâte) and not typically a luxurious or sweet product. This meaning still persisted in the nineteenth century, though by then the term more often referred to the sweet and often ornate confections implied today.
Pastry can also refer to the pastry dough, from which such baked products are made. Pastry dough is rolled out thinly and used as a base for baked products.
Pastry is differentiated from bread by having a higher fat content, which contributes to a flaky or crumbly texture.  A good pastry is light and airy and fatty, but firm enough to support the weight of the filling. When making a shortcrust pastry, care must be taken to blend the fat and flour thoroughly before adding any liquid. This ensures that the flour granules are adequately coated with fat and less likely to develop gluten. On the other hand, overmixing results in long gluten strands that toughen the pastry. In other types of pastry such as Danish pastry and croissants, the characteristic flaky texture is achieved by repeatedly rolling out a dough similar to that for yeast bread, spreading it with butter, and folding it to produce many thin layers.",https://en.wikipedia.org/wiki/Pastry
batter fried foods,milk,,
bottled water,milk,"Bottled water is drinking water (e.g., well water, distilled water, mineral water, or spring water) packaged in plastic or glass water bottles. Bottled water may be carbonated or not. Sizes range from small single serving bottles to large carboys for water coolers.",https://en.wikipedia.org/wiki/Bottled_water
breads,milk,,
breakfast cereal,milk,"Breakfast cereal (or simply cereal) is a traditional breakfast food made from processed cereal grains, primarily in Western societies. Warm cereals like porridge and grits have the longest history. Ready-to-eat cold cereals, appearing around the late 19th century, are most often mixed with milk (traditionally cow's milk), but can also be paired with yogurt instead or eaten plain. Fruit or nuts are sometimes added. Many breakfast cereals are produced via extrusion. Some companies promote their products for the health benefits that come from eating oat-based and high-fiber cereals. In the United States, cereals are often fortified with vitamins but can still lack many of the vitamins needed for a healthy breakfast. A significant proportion of cereals are made with high sugar content. Many are marketed towards children, feature a cartoon mascot, and may contain a toy or prize.
Between 1970 and 1998, the number of different types of breakfast cereals in the U.S. more than doubled, from about 160 to around 340; the forecasted trend for 2012 was 4,945 different types based on the mass customization of online shopping. In this highly competitive market, breakfast cereal companies have developed an ever-increasing number of flavors (some are flavored like dessert or candy). Although many plain wheat, oat and corn- based cereals exist, other varieties are highly sweetened, while some brands include freeze-dried fruit as a sweet element. The breakfast cereal industry has gross profit margins of 40–45%, 90% penetration in some markets, and steady and continued growth throughout its history.",https://en.wikipedia.org/wiki/Breakfast_cereal
canned products,milk,,
carob,milk,"The carob (Ceratonia siliqua) is a flowering evergreen tree or shrub in the legume family, Fabaceae. It is widely cultivated for its edible pods, and as an ornamental tree in gardens and landscapes. The carob tree is native to the Mediterranean region and the Middle East.The ripe, dried, and sometimes toasted pod is often ground into carob powder, which is sometimes used to replace cocoa powder. Carob bars, an alternative to chocolate bars, as well as carob treats, are often available in health food stores. Carob pods are naturally sweet, not bitter, and contain no theobromine or caffeine.
The carat, a unit of mass for gemstones, and a measurement of purity for gold, takes its name from the Greek word for a carob, keration meaning horn, via the Arabic word, qīrāṭ.",https://en.wikipedia.org/wiki/Carob
chocolate,milk,"Chocolate is a usually sweet, brown food preparation of roasted and ground cacao seeds that is made in the form of a liquid, paste, or in a block, or used as a flavoring ingredient in other foods. The earliest evidence of use traces to the Olmecs (modern day Mexico), with evidence of chocolate beverages dating to 1900 BC. The majority of Mesoamerican people made chocolate beverages, including the Maya and Aztecs. The word ""chocolate"" is derived from the Classical Nahuatl word chocolātl.The seeds of the cacao tree have an intense bitter taste and must be fermented to develop the flavor. After fermentation, the beans are dried, cleaned, and roasted. The shell is removed to produce cacao nibs, which are then ground to cocoa mass, unadulterated chocolate in rough form. Once the cocoa mass is liquefied by heating, it is called chocolate liquor. The liquor also may be cooled and processed into its two components: cocoa solids and cocoa butter. Baking chocolate, also called bitter chocolate, contains cocoa solids and cocoa butter in varying proportions, without any added sugar. Powdered baking cocoa, which contains more fiber than it contains cocoa butter, can be processed with alkali to produce dutch cocoa. Much of the chocolate consumed today is in the form of sweet chocolate, a combination of cocoa solids, cocoa butter or added vegetable oils, and sugar. Milk chocolate is sweet chocolate that additionally contains milk powder or condensed milk. White chocolate contains cocoa butter, sugar, and milk, but no cocoa solids.
Chocolate is one of the most popular food types and flavors in the world, and many foodstuffs involving chocolate exist, particularly desserts, including cakes, pudding, mousse, chocolate brownies, and chocolate chip cookies. Many candies are filled with or coated with sweetened chocolate. Chocolate bars, either made of solid chocolate or other ingredients coated in chocolate, are eaten as snacks. Gifts of chocolate molded into different shapes (such as eggs, hearts, coins) are traditional on certain Western holidays, including Christmas, Easter, Valentine's Day, and Hanukkah. Chocolate is also used in cold and hot beverages, such as chocolate milk and hot chocolate, and in some alcoholic drinks, such as creme de cacao.
Although cocoa originated in the Americas, West African countries, particularly Côte d'Ivoire and Ghana, are the leading producers of cocoa in the 21st century, accounting for some 60% of the world cocoa supply.
With some two million children involved in the farming of cocoa in West Africa, child slavery and trafficking were major concerns in 2018. However, international attempts to improve conditions for children were failing because of persistent poverty, absence of schools, increasing world cocoa demand, more intensive farming of cocoa, and continued exploitation of child labor.",https://en.wikipedia.org/wiki/Chocolate
coated,milk,,
coconut milk powder,milk,"Coconut milk powder is a fine, white powder used in Southeast Asian and other cuisines. Coconut milk powder is manufactured through the spray drying process of raw unsweetened coconut cream and is reconstituted with water for use in recipes that call for coconut milk. Many commercially available coconut milk powders list milk or casein among their ingredients.",https://en.wikipedia.org/wiki/Coconut_milk_powder
confectionery,milk,"Caramel ( or ) is a medium to dark-orange confectionery product made by heating a variety of sugars. It can be used as a flavoring in puddings and desserts, as a filling in bonbons, or as a topping for ice cream and custard.
The process of caramelization consists of heating sugar slowly to around 170 °C (338 °F). As the sugar heats, the molecules break down and re-form into compounds with a characteristic color and flavor.
A variety of candies, desserts, toppings, and confections are made with caramel: brittles, nougats, pralines, flan, crème brûlée, crème caramel, and caramel apples. Ice creams sometimes are flavored with or contain swirls of caramel.",https://en.wikipedia.org/wiki/Caramel
dips,milk,,
egg replacers,milk,Egg substitutes are food products which can be used to replace eggs in cooking and baking.,https://en.wikipedia.org/wiki/Egg_substitutes
fat substitutes,milk,"A fat substitute is a food product with the same functions, stability, physical, and chemical characteristics as regular fat, with fewer Calories per gram than fat. They are utilized in the production of low fat and low calorie foods.",https://en.wikipedia.org/wiki/Fat_substitute
flavourings,milk,"Flavor (American English) or flavour (British English; see spelling differences) is the sensory impression of food or other substances, and is determined primarily by the chemical senses of taste and smell. The ""trigeminal senses"", which detect chemical irritants in the mouth and throat, as well as temperature and texture, are also important to the overall gestalt of flavor perception. The flavor of the food, as such, can be altered with natural or artificial flavorants which affect these senses.
A ""flavorant"" is defined as a substance that gives another substance flavor, altering the characteristics of the solute, causing it to become sweet, sour, tangy, etc.  A flavor is a quality of something that affects the sense of taste.Of the three chemical senses, smell is the main determinant of a food item's flavor. Five basic tastes – sweet, sour, bitter, salty and umami (savory) are universally recognized, although some cultures also include pungency and oleogustus (""fattiness""). The number of food smells is unbounded; a food's flavor, therefore, can be easily altered by changing its smell while keeping its taste similar. This is exemplified in artificially flavored jellies, soft drinks and candies, which, while made of bases with a similar taste, have dramatically different flavors due to the use of different scents or fragrances. The flavorings of commercially produced food products are typically created by flavorists.
Although the terms flavoring and flavorant in common language denote the combined chemical sensations of taste and smell, the same terms are used in the fragrance and flavors industry to refer to edible chemicals and extracts that alter the flavor of food and food products through the sense of smell. Due to the high cost or unavailability of natural flavor extracts, most commercial flavorants are ""nature-identical"", which means that they are the chemical equivalent of natural flavors, but chemically synthesized rather than being extracted from source materials. Identification of components of natural foods, for example a raspberry, may be done using technology such as headspace techniques, so the flavorist can imitate the flavor by using a few of the same chemicals present.",https://en.wikipedia.org/wiki/Flavor
flavoured coffees,milk,,
frozen desserts,milk,"Frozen dessert is a dessert made by freezing liquids, semi-solids, and sometimes even solids. They may be based on flavored water (shave ice, ice pops, sorbet, snow cones), on fruit purées (such as sorbet), on milk and cream (most ice creams), on custard (frozen custard and some ice creams), on mousse (semifreddo), and others. It is sometimes sold as ice-cream in South Asia and other countries.
In Canada and elsewhere, the term is often used on imitations of ice cream which do not satisfy its legal definition (e.g., mellorine).In India some company brands like Hindustan Unilever were found selling frozen dessert made from vegetable oils rather than that made with pure milk. As per Indian regulations, ice cream which is made from milk solids, but contains non-dairy fat is categorized and labelled as frozen dessert in India.",https://en.wikipedia.org/wiki/Frozen_dessert
gravy,milk,"Gravy is a sauce often made from the juices of meats that run naturally during cooking and thickened with wheat flour or corn starch for added texture. The term can refer to a wider variety of sauces. The gravy may be further colored and flavored with gravy salt (a simple mix of salt and caramel food coloring) or gravy browning (gravy salt dissolved in water) or ready-made cubes and powders can be used as a substitute for natural meat or vegetable extracts. Canned and instant gravies are also available. Gravy is commonly served with roasts, meatloaf, rice, and mashed potatoes.",https://en.wikipedia.org/wiki/Gravy
high protein products,milk,,
instant mashed potatoes,milk,"Instant mashed potatoes are potatoes that have been through an industrial process of cooking, mashing and dehydrating to yield a packaged convenience food that can be reconstituted by adding hot water or milk, producing an 
approximation of mashed potatoes. They are available in different flavors.
Mashed potatoes can be reconstituted from potato flour, but the process is made more difficult by lumping; a key characteristic of instant mashed potatoes is that it is in the form of flakes or granules, eliminating the chunkiness. Analogous to instant mashed potatoes are instant poi made from taro and instant fufu made from yams or yam substitutes including cereals.  Poha, an instant rice mush, is also much in the same spirit, as more broadly are other instant porridges, formed from flakes, granules, or pearls to avoid lumping. Brands include Smash and Idahoan Foods.
Flaked instant mashed potatoes are most commonly found in stores in the United States and Canada. Granulated forms are generally reserved more for institutional or restaurant use.",https://en.wikipedia.org/wiki/Instant_mashed_potatoes
lactic acid starter culture,milk,"Lactic acid bacteria (LAB) are an order of gram-positive, low-GC, acid-tolerant, generally nonsporulating, nonrespiring, either rod-shaped (bacilli) or spherical (cocci) bacteria that share common metabolic and physiological characteristics. These bacteria, usually found in decomposing plants and milk products, produce lactic acid as the major metabolic end product of carbohydrate fermentation. This trait has, throughout history, linked LAB with food fermentations, as acidification inhibits the growth of spoilage agents. Proteinaceous bacteriocins are produced by several LAB strains and provide an additional hurdle for spoilage and pathogenic microorganisms. Furthermore, lactic acid and other metabolic products contribute to the organoleptic and textural profile of a food item. The industrial importance of the LAB is further evidenced by their generally recognized as safe (GRAS) status, due to their ubiquitous appearance in food and their contribution to the healthy microbiota of animal and human mucosal surfaces. The genera that comprise the LAB are at its core Lactobacillus, Leuconostoc, Pediococcus, Lactococcus, and Streptococcus, as well as the more peripheral Aerococcus, Carnobacterium, Enterococcus, Oenococcus, Sporolactobacillus, Tetragenococcus, Vagococcus, and Weissella; these belong to the order Lactobacillales.",https://en.wikipedia.org/wiki/Lactic_acid_bacteria
margarine spreads,milk,"Margarine (, also UK: , US:  (listen)) is a spread used for flavoring, baking, and cooking that was first made in France in 1869. It was created by Hippolyte Mège-Mouriès in response to a challenge by Emperor Napoleon III to create a butter substitute from beef tallow for the armed forces and lower classes. It was named oleomargarine from Latin for oleum (olive oil) and Greek margarite (pearl indicating luster) but was later named margarine.Butter is made from the butterfat of milk, whereas modern margarine is made mainly of refined vegetable oil and water. In some places in the United States, it is colloquially referred to as oleo, short for oleomargarine. In Britain and Australia, it can be referred to colloquially as marge. Margarine consists of a water-in-fat emulsion, with tiny droplets of water dispersed uniformly throughout a fat phase in a stable crystalline form. In some jurisdictions, margarine must have a minimum fat content of 80-percent to be labelled as such, the same as butter. Colloquially in the United States, the term margarine is used to describe ""non-dairy spreads"" with varying fat contents.Due to its versatility, margarine can be used as an ingredient in other food products, such as pastries, doughnuts, cakes and cookies.",https://en.wikipedia.org/wiki/Margarine
non-dairy products,milk,,
nougat,milk,"Nougat (US:   NOO-gət, UK:  NOO-gah, or UK:  NUG-ət; French pronunciation: ​[nuɡa]; Azerbaijani: nuga; Persian: نوقا) is a family of confections made with sugar or honey, roasted nuts (almonds, walnuts, pistachios, hazelnuts, and macadamia nuts are common), whipped egg whites, and sometimes chopped candied fruit. The consistency of nougat is chewy, and it is used in a variety of candy bars and chocolates. The word nougat comes from Occitan pan nogat (pronounced [ˈpa nuˈɣat]), seemingly from Latin panis nucatus 'nut bread' (the late colloquial Latin adjective nucatum means 'nutted' or 'nutty').
There are three basic kinds of nougat. The first, and most common, is white nougat (mandorlato or torrone in Italy, turrón in Spain), made with beaten egg whites and honey;  it appeared in Cologna Veneta, Italy, in the early 15th century, in Alicante, Spain with the first published recipe in the 16th century, and in Montélimar, France, in the 18th century. The second is brown nougat (nougat noir in French, literally ""black nougat""), which is made without egg whites and has a firmer, often crunchy texture. The third is the Viennese or German nougat which is essentially a chocolate and nut (usually hazelnut) praline.",https://en.wikipedia.org/wiki/Nougat
probiotic drinks,milk,"Probiotics are live microorganisms intended to provide health benefits when consumed, generally by improving or restoring the gut flora. Probiotics are considered generally safe to consume, but may cause bacteria-host interactions and unwanted side effects in rare cases.The original theory, similar to the modern concept, but not the term, is generally attributed to Nobel laureate Élie Metchnikoff, who postulated that yoghurt-consuming Bulgarian peasants lived longer lives because of that custom. In 1907, he wrote: ""[T]he dependence of the intestinal microbes on the food makes it possible to adopt measures to modify the microbiota in our bodies[,] and to replace the harmful microbes by useful microbes.""A growing probiotics market has led to the need for stricter requirements for scientific substantiation of putative benefits conferred by microorganisms claimed to be probiotic. Although numerous claimed benefits are marketed towards using consumer probiotic products, such as reducing gastrointestinal discomfort, improving immune health, relieving constipation, or avoiding the common cold, such claims are not supported by scientific evidence, and are prohibited as deceptive advertising in the United States by the Federal Trade Commission. As of 2019, numerous applications for approval of health claims by European manufacturers of probiotic dietary supplements have been rejected by the European Food Safety Authority for insufficient evidence of beneficial mechanism or efficacy.In a clinical setting, some probiotics have been found to be useful in treating antibiotic-associated diarrhea in children and Clostridium difficile infection in adults.",https://en.wikipedia.org/wiki/Probiotic
processed meats,milk,"Lunch meats—also known as cold cuts, luncheon meats, cooked meats, sliced meats, cold meats and deli meats—are precooked or cured meat, often sausages or meat loaves, that are sliced and served cold or hot on sandwiches or on party trays. They can be bought pre-sliced in vacuum packs at a supermarket or grocery store, or they can be purchased at a delicatessen or deli counter, where they might be sliced to order. Unsliced, canned lunch meats are sold under brands such as Spam and Treet.",https://en.wikipedia.org/wiki/Lunch_meat
salad dressings,milk,"A salad is  a dish consisting of a mixture of small pieces of food, usually vegetables or fruit. However, different varieties of salad may contain virtually any type of ready-to-eat food. Salads are typically served at room temperature or chilled, with notable exceptions such as south German potato salad which can be served warm. 
Garden salads use a base of leafy greens such as lettuce, arugula/rocket, kale or spinach; they are common enough that the word salad alone often refers specifically to garden salads. Other types include bean salad, tuna salad, fattoush, Greek salad (vegetable based, but without leafy greens), and sōmen salad (a noodle-based salad). The sauce used to flavor a salad is commonly called a salad dressing; most salad dressings are based on either a mixture of oil and vinegar or a fermented milk product like kefir.
Salads may be served at any point during a meal:

Appetizer salads—light, smaller-portion salads served as the first course of the meal.
Side salads—to accompany the main course as a side dish.
Main course salads—usually containing a portion of a high-protein food, such as meat, fish, eggs, legumes, or cheese.
Dessert salads—sweet versions containing fruit, gelatin, sweeteners or whipped cream.",https://en.wikipedia.org/wiki/Salad
sauces and spreads,milk,,
soups,milk,"Soup is a primarily liquid food, generally served warm or hot (but may be cool or cold), that is made by combining ingredients of meat or vegetables with stock, or water. Hot soups are additionally characterized by boiling solid ingredients in liquids in a pot until the flavors are extracted, forming a broth. Soups are similar to stews, and in some cases there may not be a clear distinction between the two; however, soups generally have more liquid (broth) than stews.In traditional French cuisine, soups are classified into two main groups: clear soups and thick soups. The established French classifications of clear soups are bouillon and consommé. Thick soups are classified depending upon the type of thickening agent used: purées are vegetable soups thickened with starch; bisques are made from puréed shellfish or vegetables thickened with cream; cream soups may be thickened with béchamel sauce; and veloutés are thickened with eggs, butter, and cream. Other ingredients commonly used to thicken soups and broths include egg, rice, lentils, flour, and grains; many popular soups also include pumpkin, carrots, potatoes, pig's trotters and bird's nests.
Other types of soup include fruit soups, dessert soups, pulse soups like split pea, cold soups and other styles.",https://en.wikipedia.org/wiki/Soup
sports drinks,milk,"Bodybuilding supplements are dietary supplements commonly used by those involved in bodybuilding, weightlifting, mixed martial arts, and athletics for the purpose of facilitating an increase in lean body mass. The intent is to increase muscle, increase body weight, improve athletic performance, and for some sports, to simultaneously decrease percent body fat so as to create better muscle definition. Among the most widely used are high protein drinks, branched-chain amino acids (BCAA), glutamine, arginine, essential fatty acids, creatine, HMB, and weight loss products. Supplements are sold either as single ingredient preparations or in the form of ""stacks"" – proprietary blends of various supplements marketed as offering synergistic advantages. While many bodybuilding supplements are also consumed by the general public the frequency of use will differ when used specifically by bodybuilders. One meta-analysis concluded that for athletes participating in resistance exercise training and consuming protein supplements for an average of 13 weeks, total protein intake up to 1.6 g/kg of body weight per day would result in an increase in strength and fat-free mass, i.e. muscle, but that higher intakes would not further contribute. The muscle mass increase was statistically significant but modest - averaging 0.3 kg for all trials and 1.0–2.0 kg, for protein intake ≥1.6 g/kg/day.As of 2010, annual sales of sport nutrition products in the United States was over US$2.7 billion according to a publication by Consumer Reports.",https://en.wikipedia.org/wiki/Bodybuilding_supplement
stock,milk,"Stock is a flavored liquid preparation. It forms the basis of many dishes, particularly soups, stews and sauces. Making stocks involves simmering animal bones or meat, seafood, or vegetables in water or wine, adding mirepoix or other aromatics for more flavor.",https://en.wikipedia.org/wiki/Stock_(food)
african dishes,peanut,"This is a list of notable dishes found in African cuisine, a generalized term collectively referring to the cuisines of Africa. The continent of Africa is the second-largest landmass on Earth, and is home to hundreds of different cultural and ethnic groups. This diversity is also reflected in the many local culinary traditions in terms of choice of ingredients, style of preparation, and cooking techniques.

",https://en.wikipedia.org/wiki/List_of_African_dishes
asian,peanut,"This is a list of Asian cuisines, by region. A cuisine is a characteristic style of cooking practices and traditions, usually associated with a specific culture or region. Asia, being the largest and most populous continent, has many great cuisines.",https://en.wikipedia.org/wiki/List_of_Asian_cuisines
backed goods,peanut,"Pastry is a dough of flour, water and shortening (solid fats, including butter) that may be savoury or sweetened. Sweetened pastries are often described as bakers' confectionery. The word ""pastries"" suggests many kinds of baked products made from ingredients such as flour, sugar, milk, butter, shortening, baking powder, and eggs. Small tarts and other sweet baked products are called pastries. Common pastry dishes include pies, tarts, quiches, croissants, and pasties.The French word pâtisserie is also used in English (with or without the accent) for the same foods. Originally, the French word pastisserie referred to anything, such as a meat pie, made in dough (paste, later pâte) and not typically a luxurious or sweet product. This meaning still persisted in the nineteenth century, though by then the term more often referred to the sweet and often ornate confections implied today.
Pastry can also refer to the pastry dough, from which such baked products are made. Pastry dough is rolled out thinly and used as a base for baked products.
Pastry is differentiated from bread by having a higher fat content, which contributes to a flaky or crumbly texture.  A good pastry is light and airy and fatty, but firm enough to support the weight of the filling. When making a shortcrust pastry, care must be taken to blend the fat and flour thoroughly before adding any liquid. This ensures that the flour granules are adequately coated with fat and less likely to develop gluten. On the other hand, overmixing results in long gluten strands that toughen the pastry. In other types of pastry such as Danish pastry and croissants, the characteristic flaky texture is achieved by repeatedly rolling out a dough similar to that for yeast bread, spreading it with butter, and folding it to produce many thin layers.",https://en.wikipedia.org/wiki/Pastry
breakfast cereals,peanut,"Breakfast cereal (or simply cereal) is a traditional breakfast food made from processed cereal grains, primarily in Western societies. Warm cereals like porridge and grits have the longest history. Ready-to-eat cold cereals, appearing around the late 19th century, are most often mixed with milk (traditionally cow's milk), but can also be paired with yogurt instead or eaten plain. Fruit or nuts are sometimes added. Many breakfast cereals are produced via extrusion. Some companies promote their products for the health benefits that come from eating oat-based and high-fiber cereals. In the United States, cereals are often fortified with vitamins but can still lack many of the vitamins needed for a healthy breakfast. A significant proportion of cereals are made with high sugar content. Many are marketed towards children, feature a cartoon mascot, and may contain a toy or prize.
Between 1970 and 1998, the number of different types of breakfast cereals in the U.S. more than doubled, from about 160 to around 340; the forecasted trend for 2012 was 4,945 different types based on the mass customization of online shopping. In this highly competitive market, breakfast cereal companies have developed an ever-increasing number of flavors (some are flavored like dessert or candy). Although many plain wheat, oat and corn- based cereals exist, other varieties are highly sweetened, while some brands include freeze-dried fruit as a sweet element. The breakfast cereal industry has gross profit margins of 40–45%, 90% penetration in some markets, and steady and continued growth throughout its history.",https://en.wikipedia.org/wiki/Breakfast_cereal
chocolates,peanut,"Chocolate is a usually sweet, brown food preparation of roasted and ground cacao seeds that is made in the form of a liquid, paste, or in a block, or used as a flavoring ingredient in other foods. The earliest evidence of use traces to the Olmecs (modern day Mexico), with evidence of chocolate beverages dating to 1900 BC. The majority of Mesoamerican people made chocolate beverages, including the Maya and Aztecs. The word ""chocolate"" is derived from the Classical Nahuatl word chocolātl.The seeds of the cacao tree have an intense bitter taste and must be fermented to develop the flavor. After fermentation, the beans are dried, cleaned, and roasted. The shell is removed to produce cacao nibs, which are then ground to cocoa mass, unadulterated chocolate in rough form. Once the cocoa mass is liquefied by heating, it is called chocolate liquor. The liquor also may be cooled and processed into its two components: cocoa solids and cocoa butter. Baking chocolate, also called bitter chocolate, contains cocoa solids and cocoa butter in varying proportions, without any added sugar. Powdered baking cocoa, which contains more fiber than it contains cocoa butter, can be processed with alkali to produce dutch cocoa. Much of the chocolate consumed today is in the form of sweet chocolate, a combination of cocoa solids, cocoa butter or added vegetable oils, and sugar. Milk chocolate is sweet chocolate that additionally contains milk powder or condensed milk. White chocolate contains cocoa butter, sugar, and milk, but no cocoa solids.
Chocolate is one of the most popular food types and flavors in the world, and many foodstuffs involving chocolate exist, particularly desserts, including cakes, pudding, mousse, chocolate brownies, and chocolate chip cookies. Many candies are filled with or coated with sweetened chocolate. Chocolate bars, either made of solid chocolate or other ingredients coated in chocolate, are eaten as snacks. Gifts of chocolate molded into different shapes (such as eggs, hearts, coins) are traditional on certain Western holidays, including Christmas, Easter, Valentine's Day, and Hanukkah. Chocolate is also used in cold and hot beverages, such as chocolate milk and hot chocolate, and in some alcoholic drinks, such as creme de cacao.
Although cocoa originated in the Americas, West African countries, particularly Côte d'Ivoire and Ghana, are the leading producers of cocoa in the 21st century, accounting for some 60% of the world cocoa supply.
With some two million children involved in the farming of cocoa in West Africa, child slavery and trafficking were major concerns in 2018. However, international attempts to improve conditions for children were failing because of persistent poverty, absence of schools, increasing world cocoa demand, more intensive farming of cocoa, and continued exploitation of child labor.",https://en.wikipedia.org/wiki/Chocolate
chocolate spreads,peanut,"Chocolate spread is a sweet chocolate-flavored paste which is eaten mostly spread on breads and toasts or similar grain items such as waffles, pancakes, muffins, and pitas.Although it tastes, smells, and looks like chocolate, it does not solidify, even at room temperature. The paste usually contains cocoa and vegetable or palm oil, and is also likely to contain milk, sugar and additional flavors. Some varieties include nuts (e.g., ground hazelnuts) or honey. Chocolate spread is normally sold in glass jars or plastic tubs.",https://en.wikipedia.org/wiki/Chocolate_spread
confectionery,peanut,"Confectionery is the art of making confections, which are food items that are rich in sugar and carbohydrates. Exact definitions are difficult. In general, though, confectionery is divided into two broad and somewhat overlapping categories, bakers' confections and sugar confections.Bakers' confectionery, also called flour confections, includes principally sweet pastries, cakes, and similar baked goods.
Sugar confectionery includes candies (sweets in British English), candied nuts, chocolates, chewing gum, bubble gum, pastillage, and other confections that are made primarily of sugar. In some cases, chocolate confections (confections made of chocolate) are treated as a separate category, as are sugar-free versions of sugar confections. The words candy (US and Canada),  sweets (UK and Ireland), and lollies (Australia and New Zealand) are common words for the most common varieties of sugar confectionery.
The confectionery industry also includes specialized training schools and extensive historical records. Traditional confectionery goes back to ancient times and continued to be eaten through the Middle Ages into the modern era.",https://en.wikipedia.org/wiki/Confectionery
curry paste,peanut,"Curry paste usually refers to a paste used as a cooking ingredient in the preparation of a curry. There are different varieties of curry paste depending from the region and also within the same cuisine:

Indian curry pastes
Kroeung paste of Cambodian cuisine
Thai curry paste",https://en.wikipedia.org/wiki/Curry_paste
